status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date,Lat,Long,formatted_address,location_type
for_sale,3600000,3,3,,"350 E 81st St Apt 3, New York City, NY, 10028",350 E 81st St Apt 3,New York City,New York,10028,2338,,40.7737326,-73.9524453,"350 E 81st St #3, New York, NY 10028, USA",ROOFTOP
for_sale,22000000,5,6,,"25 N Moore St Unit 16ABC, New York City, NY, 10013",25 N Moore St Unit 16ABC,New York City,New York,10013,7020,10/6/2015,40.7199482,-74.0071058,"25 N Moore St, New York, NY 10013, USA",ROOFTOP
for_sale,210000,1,1,,"5900 Arlington Ave Apt 2M, New York City, NY, 10471",5900 Arlington Ave Apt 2M,New York City,New York,10471,,,40.9090953,-73.9056436,"5900 Arlington Ave #2m, The Bronx, NY 10471, USA",ROOFTOP
for_sale,775000,1,2,,"50 Sutton Pl S Apt 8K, New York City, NY, 10022",50 Sutton Pl S Apt 8K,New York City,New York,10022,,,40.7559503,-73.9621113,"50 Sutton Pl S #8k, New York, NY 10022, USA",ROOFTOP
for_sale,749000,1,1,,"215 E 96th St Unit 37F, New York City, NY, 10128",215 E 96th St Unit 37F,New York City,New York,10128,,,40.7851883,-73.947968,"One Carnegie Hill, 215 E 96th St #37f, New York, NY 10128, USA",ROOFTOP
for_sale,300000,,1,,"New York City, NY, 10452",,New York City,New York,10452,,,40.8376318,-73.9212858,"The Bronx, NY 10452, USA",APPROXIMATE
for_sale,899000,1,2,,"105 W 70th St Apt 1R, New York City, NY, 10023",105 W 70th St Apt 1R,New York City,New York,10023,,,40.776418,-73.979925,"105 W 70th St #1r, New York, NY 10023, USA",ROOFTOP
for_sale,1250000,1,1,,"270 W 17th St Apt 12A, New York City, NY, 10011",270 W 17th St Apt 12A,New York City,New York,10011,568,9/19/1994,40.7412309,-74.0010072,"270 W 17th St #12a, New York, NY 10011, USA",ROOFTOP
for_sale,6675000,5,5,,"122 Congress St, New York City, NY, 11201",122 Congress St,New York City,New York,11201,,3/2/2021,40.6889347,-73.9982049,"122 Congress St, Brooklyn, NY 11201, USA",ROOFTOP
for_sale,395000,,1,0.29,"430 E 56th St Apt 1C, New York City, NY, 10022",430 E 56th St Apt 1C,New York City,New York,10022,650,,40.7569833,-73.9624557,"430 E 56th St #1c, New York, NY 10022, USA",ROOFTOP
for_sale,8625000,3,3,,"40 Bond St Apt 6A, New York City, NY, 10012",40 Bond St Apt 6A,New York City,New York,10012,2617,3/12/2008,40.7265073,-73.9933102,"40 Bond St #6a, New York, NY 10012, USA",ROOFTOP
for_sale,1775000,2,2,,"303 W 29th St Apt A, New York City, NY, 10001",303 W 29th St Apt A,New York City,New York,10001,1200,,40.749446,-73.9960849,"303 W 29th St A, New York, NY 10001, USA",ROOFTOP
for_sale,1550000,,,,"150 E 56th St Unit 1A /B, New York City, NY, 10022",150 E 56th St Unit 1A /B,New York City,New York,10022,1318,,40.7622773,-73.9744299,"1 E 56th St, New York, NY 10022, USA",RANGE_INTERPOLATED
for_sale,3500000,5,4,0.03,"116 Willoughby Ave, New York City, NY, 11205",116 Willoughby Ave,New York City,New York,11205,3224,9/28/2017,40.6914524,-73.9678265,"116 Willoughby Ave, Brooklyn, NY 11205, USA",ROOFTOP
for_sale,1625000,3,2,,"885 W End Ave Apt 12D, New York City, NY, 10025",885 W End Ave Apt 12D,New York City,New York,10025,,4/4/2005,40.8000117,-73.9701698,"885 West End Ave #12d, New York, NY 10025, USA",ROOFTOP
for_sale,1100000,2,1,,"300 E 40th St Apt 21S, New York City, NY, 10016",300 E 40th St Apt 21S,New York City,New York,10016,900,6/16/2010,40.7480655,-73.972862,"300 E 40th St #21s, New York, NY 10016, USA",ROOFTOP
for_sale,7850000,8,8,0.05,"8 W 71st St, New York City, NY, 10023",8 W 71st St,New York City,New York,10023,6100,,40.7756416,-73.9772063,"8 W 71st St, New York, NY 10023, USA",ROOFTOP
for_sale,1199000,1,1,,"121 E 23rd St Apt 20C, New York City, NY, 10010",121 E 23rd St Apt 20C,New York City,New York,10010,724,7/1/2016,40.7400441,-73.9853702,"121 E 23rd St #20c, New York, NY 10010, USA",ROOFTOP
for_sale,865000,,1,,"101 E 2nd St Apt 4C, New York City, NY, 10009",101 E 2nd St Apt 4C,New York City,New York,10009,450,,40.7235881,-73.9876419,"101 E 2nd St #4c, New York, NY 10009, USA",ROOFTOP
for_sale,899000,2,1,,"400 E 77th St Apt 7E, New York City, NY, 10075",400 E 77th St Apt 7E,New York City,New York,10075,,6/30/2015,40.7707233,-73.9533504,"400 E 77th St #7e, New York, NY 10075, USA",ROOFTOP
for_sale,359000,1,1,,"345 Webster Ave Apt 5I, New York City, NY, 11230",345 Webster Ave Apt 5I,New York City,New York,11230,,6/26/2017,40.6339914,-73.9689071,"345 Webster Ave #5i, Brooklyn, NY 11230, USA",ROOFTOP
